Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.87996E-3,19.045018822,0.279902086,0.005393528,0,0
3.91921E-3,19.436939348,0.282289878,0.005293648,0,0
3.97801E-3,19.834739881,0.285852588,0.005193767,0,0
4.02583E-3,20.237323355,0.288737535,0.005093887,0,0
4.10711E-3,20.648034634,0.293613315,0.004994007,0,0
4.12753E-3,21.060787321,0.294832672,0.004894127,0,0
4.14881E-3,21.475668615,0.296101873,0.004794247,0,0
4.15511E-3,21.891180018,0.296477142,0.004694367,0,0
4.27465E-3,22.31864496,0.303558451,0.004594487,0,0
4.27506E-3,22.746150998,0.303582674,0.004494606,0,0
4.28319E-3,23.174469684,0.304061476,0.004394726,0,0
4.3726E-3,23.611729336,0.309307701,0.004294846,0,0
4.51494E-3,24.063223068,0.317578254,0.004194966,0,0
4.67021E-3,24.530243874,0.32648719,0.004095086,0,0
4.71457E-3,25.001700522,0.329010907,0.003995206,0,0
4.76545E-3,25.478245643,0.331894287,0.003895326,0,0
4.79058E-3,25.957304121,0.333313904,0.003795445,0,0
5.29266E-3,26.486570513,0.361049212,0.003695565,0,0
5.86777E-3,27.073347434,0.391403661,0.003595685,0,0
5.87459E-3,27.660805959,0.391754631,0.003495805,0,0
5.87747E-3,28.248552678,0.391902966,0.003395925,0,0
6.89765E-3,28.93831789,0.44220342,0.003296045,0,0
7.32427E-3,29.670745092,0.461983773,0.003196165,0.083333333,0
7.40656E-3,30.411401328,0.465717706,0.003096284,0.083333333,0
8.27779E-3,31.239180001,0.503694818,0.002996404,0.083333333,0
8.39532E-3,32.078712157,0.508607186,0.002896524,0.166666667,0
9.78611E-3,33.057323514,0.563172421,0.002796644,0.166666667,0
1.00717E-2,34.064493761,0.573603933,0.002696764,0.166666667,0
1.04687E-2,35.111364249,0.587692427,0.002596884,0.166666667,0
1.14633E-2,36.257692917,0.620977212,0.002497004,0.166666667,0
1.34202E-2,37.599708203,0.678825959,0.002397123,0.166666667,0
1.43392E-2,39.0336276,0.702860113,0.002297243,0.166666667,0
1.47027E-2,40.503900867,0.711862994,0.002197363,0.166666667,0
1.60654E-2,42.110439747,0.743247652,0.002097483,0.25,0
1.65938E-2,43.76981674,0.75447614,0.001997603,0.333333333,0
1.8967E-2,45.666515744,0.799152851,0.001897723,0.333333333,0
1.92126E-2,47.587773939,0.803284352,0.001797843,0.333333333,0
1.92261E-2,49.510381573,0.803508884,0.001697962,0.333333333,0
2.04996E-2,51.56034016,0.823585247,0.001598082,0.333333333,0
2.10339E-2,53.663732851,0.831385421,0.001498202,0.416666667,0
2.10841E-2,55.772138238,0.832099225,0.001398322,0.5,0
2.38987E-2,58.162003343,0.86768722,0.001298442,0.5,0
2.4092E-2,60.571200989,0.86983444,0.001198562,0.5,0
2.46379E-2,63.034989479,0.875711441,0.001098682,0.5,0
2.47602E-2,65.511011324,0.876991601,0.000998801,0.583333333,0
2.73983E-2,68.250837921,0.901605015,0.000898921,0.583333333,0
2.99671E-2,71.247549555,0.920831117,0.000799041,0.666666667,0
