species,dd long,dd lat
Paruroctonus silvestrii,-121.5807883,37.38418156
Paruroctonus silvestrii,-116.9018843,34.19325918
Paruroctonus silvestrii,-119.150235,34.34111552
Paruroctonus silvestrii,-116.7958306,33.83313333
Paruroctonus silvestrii,-121.8161612,37.50555897
Paruroctonus silvestrii,-117.4473993,33.96644703
Paruroctonus silvestrii,-117.2080203,33.0877287
Paruroctonus silvestrii,-117.7761167,33.830395
Paruroctonus silvestrii,-121.7949358,37.2111955
Paruroctonus silvestrii,-121.9888198,37.92405319
Paruroctonus silvestrii,-121.8026117,40.29448333
Paruroctonus silvestrii,-120.4424925,34.86923345
Paruroctonus silvestrii,-117.5704173,33.43586372
Paruroctonus silvestrii,-119.29,34.44944444
Paruroctonus silvestrii,-119.3633298,34.60792887
Paruroctonus silvestrii,-119.0159269,34.57262171
Paruroctonus silvestrii,-116.5860144,33.21491798
Paruroctonus silvestrii,-117.5637917,34.12551111
Paruroctonus silvestrii,-117.333773,34.045737
Paruroctonus silvestrii,-117.9818268,34.30456161
Paruroctonus silvestrii,-117.7620611,33.55773889
Paruroctonus silvestrii,-122.620194,38.957441
Paruroctonus silvestrii,-117.1115977,33.73038921
Paruroctonus silvestrii,-118.196873,34.257398
Paruroctonus silvestrii,-116.8456158,32.76355621
Paruroctonus silvestrii,-118.5108008,34.44877772
Paruroctonus silvestrii,-116.41275,32.865105
Paruroctonus silvestrii,-119.0930417,34.808745
Paruroctonus silvestrii,-116.585205,32.905845
Paruroctonus silvestrii,-116.9904164,33.9511563
Paruroctonus silvestrii,-117.026088,33.298038
Paruroctonus silvestrii,-118.53572,34.060075
Paruroctonus silvestrii,-118.6015037,34.12488975
Paruroctonus silvestrii,-121.5690759,36.29008221
Paruroctonus silvestrii,-117.637945,33.58867722
Paruroctonus silvestrii,-120.622545,35.18711167
Paruroctonus silvestrii,-119.5675278,34.47734167
Paruroctonus silvestrii,-117.0862389,33.27838611
Paruroctonus silvestrii,-117.9956498,34.00170658
Paruroctonus silvestrii,-119.7346311,34.4148272
Paruroctonus silvestrii,-120.6900698,35.2467407
Paruroctonus silvestrii,-117.2704383,33.05738883
Paruroctonus silvestrii,-118.242805,34.20890833
Paruroctonus silvestrii,-121.869627,38.689979
Paruroctonus silvestrii,-122.415329,40.59395287
Paruroctonus silvestrii,-118.9659856,34.05944211
Paruroctonus silvestrii,-120.6689617,35.61607167
Paruroctonus silvestrii,-118.960609,34.135125
Paruroctonus silvestrii,-122.4877383,39.09050283
Paruroctonus silvestrii,-118.0276417,35.76922
Paruroctonus silvestrii,-120.6969467,35.30239692
Paruroctonus silvestrii,-122.6058421,37.9211851
Paruroctonus silvestrii,-121.8500444,37.12654444
Paruroctonus silvestrii,-120.8154636,35.32598382
Paruroctonus silvestrii,-120.614905,35.28346667
Paruroctonus silvestrii,-122.347042,39.142639
